systemId,id,STATE
4905000054,4906260001,PA
4905000053,4906260003,PA
4905000067,4906260004,PA
4205000011,4206040001,TN
3905000030,3906280001,IN
4905000056,4906270001,PA
3305000018,3306000018,OH
3905000031,3906290001,KY
4905000008,4906000021,NY
4905000010,4906000022,NY
3905000032,3906300001,KY
3305000019,3306000019,WV
3305000020,3306000020,KY
4205000004,4206000004,KY
4205000005,4206000005,KY
3305000021,3306000021,WV
3305000022,3306000022,OH
4905000011,4906000023,NY
4905000012,4906000024,NY
3305000023,3306000023,KY
1305000548,1306000080,PA
1305000551,1306000118,PA
1305000551,1306000118,PA
1305000551,1306000118,PA
4905000014,4906000025,PA
4905000013,4906000026,PA
3905000033,3906310001,IL
4905000057,4906280001,PA
1505000935,1506000078,IL
3905000034,3906320001,IL
4905000058,4906290001,PA
3305000024,3306000024,OH
3905000017,3906330001,IL
3905000018,3906340001,IN
3305000026,3306000026,KY
3905500001,3906500001,IL
4905000016,4906000027,NY
4905000015,4906000028,NY
4905000017,4906000029,NY
1305000574,1306000014,PA
4905000059,4906300001,PA
3905110002,3906110002,KY
3905000035,3906370001,KY
3905000036,3906380001,KY
3905000044,3906390002,IN
3905000020,3906390001,IN
3905000037,3906400001,IN
3905000038,3906410001,KY
1505000057,1506000500,OH
1505000802,1506000499,OH
1505000852,1506000498,OH
4905000060,4906310001,PA
4905000061,4906310002,PA
4905000062,4906320001,PA
1305000623,1306000022,PA
4905000077,4906370004,PA
4905000003,4906000030,OH
3305000028,3306000028,OH
3905000021,3906430001,IN
3305000012,3306000012,WV
4205000007,4206000006,KY
3305000013,3306000013,WV
4905000004,4906000031,PA
4905000063,4906330001,PA
3905000032,3906300001,KY
260005000153,260006000153,IL
5105950070,5106960038,IA
5105590225,5106960030,IL
5105590220,5106960031,IL
5105950071,5106960039,IA
5105500001,5106500001,IL
5105500002,5106500002,IL
260005000055,260006000055,IL
5105010001,5106010001,IL
260005000210,260006100001,IL
260005000143,260006000143,IL
5105020001,5106020001,IA
5605320001,5606000008,IL
5105510001,5106510001,IL
5605010001,5606000036,IL
260005000097,260006000097,IL
5705000001,5706000005,MN
5605700001,5606000037,IL
5605540001,5606000060,MO
5105030001,5106030001,IA
2605000004,2606000004,IN
260005000060,260006000060,IL
260005000059,260006000059,IL
3905440001,3906440001,IL
5105040001,5106040001,MO
260005000099,260006000099,IL
5105590200,5106960032,IA
260005000100,260006000100,IL
4005000005,4006000026,MO
5105520001,5106520001,IA
5105590360,5106960054,IL
5605920001,5606000059,IL
1505000413,1506000341,IL
1505000045,1506000139,MN
1505000046,1506000157,MN
260005000145,260006000145,IL
260005000065,260006000065,IL
260005000062,260006000062,IL
5105590100,5106960015,IL
5105050001,5106050001,IA
5105050002,5106050002,IA
5105530001,5106530001,IL
260005000101,260006000101,IL
5605090001,5606000015,IL
5105540001,5106960027,IL
5105950075,5106960055,IA
5105870001,5106870002,IL
5105870002,5106870001,IL
5105060001,5106060001,MO
5105550001,5106950001,IA
5105550002,5106550003,IA
5105550003,5106550002,IA
5105550005,5106550001,IA
260005000067,260006000067,IL
5105080001,5106080001,IL
5105090001,5106090001,IA
5105560001,5106560001,IL
5105100001,5106100001,IL
5105100001,5106100001,IL
5105570001,5106570001,IL
1505000908,1506000014,IL
5105580003,5106580003,IL
5105580004,5106580004,IL
5105580002,5106580002,IL
5105580001,5106580001,IL
5105580006,5106580005,IL
5105590140,5106960042,IL
5605140001,5606000080,IL
5605140001,5606000080,IL
5105590180,5106960009,IA
5105590001,5106590001,IA
5605150001,5606000063,MO
5105110001,5106110001,MO
5105950078,5106960057,IL
2605000016,2606000016,IL
5105120001,5106120001,IL
5105620001,5106620001,IL
5105620002,5106620002,IL
2605000003,2606000003,IN
2605000003,2606000003,IN
2605000003,2606000003,IN
2605000003,2606000003,IN
2605000003,2606000003,IN
5705000002,5706000017,MN
5105130001,5106130001,IA
5105140001,5106140001,MO
260005000181,260006000181,IL
2605000009,2606000009,IN
5105150001,5106150001,MO
5605200001,5606000004,IL
260005000147,260006000147,IL
5105160001,5106160001,IL
5105950079,5106960058,IL
2605000005,2606000005,IN
5605210001,5606000017,IL
260005000197,260006000197,IL
5105180001,5106180001,IL
5105950077,5106960059,IL
260005000111,260006000111,IL
260005000112,260006000112,IL
5105190002,5106190002,IL
5105190001,5106190001,IL
5605230001,5606000005,IL
5605240001,5606000006,IL
5105590250,5106960053,IA
5105640001,5106640001,IL
2605000007,2606000007,IL
260005000119,260006000119,IL
5105900001,5106650001,IL
260005000073,260006000073,IL
1505000285,1506000311,IL
1505000422,1506000310,IL
5105590190,5106960034,IA
5105590150,5106960052,IL
5105700001,5106700001,IA
5105780001,5106780002,IA
5105780003,5106780003,IA
5105780002,5106780001,IA
5105790001,5106790001,IL
260005000120,260006000120,IL
5605270001,5606000019,IL
260005000148,260006000148,IL
5605280001,5606000020,IL
260005000124,260006000124,IL
260005000123,260006000123,IL
260005000122,260006000122,IL
5105210001,5106210001,IL
5605290001,5606000073,IL
5605300001,5606000033,IL
260005000121,260006000121,IL
5105800002,5106800003,IL
5105800003,5106800001,IL
5105800001,5106800002,IL
5705000039,5706000047,WI
5705000006,5706000021,MN
5705000005,5706000022,MN
5705000009,5706000036,MN
4005000001,4006000001,IL
4005000001,4006000001,IL
4005000001,4006000001,IL
5705000042,5706000018,IA
5705000011,5706000046,MN
5105590270,5106960018,MO
5105590270,5106960018,MO
260005000125,260006000125,IL
260005000138,260006000138,IL
5105220001,5106220001,IA
5105230002,5106230002,IA
5105230002,5106230002,IA
5105230001,5106230001,IA
4005000016,4006000028,MO
260005000149,260006000149,IL
2605000001,2606000001,IL
5105590330,5106960028,IL
5105810001,5106810001,IL
5105830001,5106830001,IL
260005000078,260006000078,IL
5105840001,5106840001,IL
5105850001,5106960014,IL
5605360001,5606000009,IL
260005000139,260006000139,IL
260005000201,260006000201,IL
5105240001,5106240001,IL
5105630001,5106630001,IL
5105630002,5106630002,IL
5705000018,5706000023,MN
5705000065,5706000075,MN
5705000064,5706000074,MN
5705000066,5706000076,MN
260005000080,260006000080,IL
5105250001,5106250001,IA
5605560001,5606000072,MO
260005000130,260006000130,IL
5105860001,5106860001,IL
5105660001,5106660001,IL
5105260002,5106260003,IL
5105260003,5106260006,IL
5105260001,5106260001,IL
5105260005,5106260005,IL
5105260006,5106260002,IL
5105260004,5106260004,IL
5105300001,5106300001,IL
5105310001,5106310001,MO
1705100118,1706000160,MO
5105590390,5106960020,IL
260005000085,260006000085,IL
260005000133,260006000133,IL
5105880001,5106880001,IL
1505000071,1506000114,MN
260005000075,260006000075,IL
260005000131,260006000131,IL
260005000132,260006000132,IL
260005000134,260006000134,IL
5105890001,5106890001,IA
5105590410,5106960023,IL
260005000151,260006000151,IL
260005000135,260006000135,IL
5105070003,5106070003,IA
5105070002,5106070001,IA
5105070001,5106070002,IA
5105330003,5106330001,MO
5605440001,5606000013,IL
260005000091,260006000091,IL
260005000092,260006000092,IL
260005000179,260006000179,IL
260005000207,260006000207,IL
5705000021,5706000020,MN
5105910001,5106910001,IA
5105910002,5106910002,IA
260005000209,260006000209,IL
260005000180,260006000180,IL
5105920003,5106920003,IA
1705000168,1706000018,IA
1705100168,1706000019,IA
1705000172,1706000214,IA
5105920001,5106920001,IA
5105920002,5106920002,IA
5105920005,5106960051,IA
5105920004,5106920004,IA
260005000152,260006000152,IL
260005000141,260006000141,IL
5105550006,5106097001,IA
5605600001,5606000061,MO
5605470001,5606000027,IL
5605470002,5606000028,IL
5105580300,5106960026,MN
5905000003,5906000003,LA
5905000004,5906000004,AR
5905000034,5906000034,LA
4005000012,4006000011,AR
4005000005,4006000026,MO
4005000017,4006000016,AR
5905000007,5906000007,MS
5905000037,5906000037,LA
4005000019,4006000030,AR
4005000018,4006000017,AR
4005000014,4006000013,MO
4005000007,4006000006,TN
5905000048,5906000042,MS
5905000012,5906000012,MS
3705000001,3706000042,AR
5905000057,5906000054,LA
4005000029,4006000058,AR
5905000023,5906000023,LA
3705000022,3706000046,AR
4005000009,4006000023,TN
4005000023,4006000003,TN
4005000001,4006000001,IL
4005000001,4006000001,IL
4005000001,4006000001,IL
4005000006,4006000005,AR
5905000051,5906000051,MS
4005000016,4006000028,MO
3705000062,3706000048,AR
4005000024,4006000021,TN
4005000025,4006000024,TN
3705000003,3706000002,AR
4005000022,4006000025,TN
5905000040,5906000040,MS
5905000038,5906000038,LA
5905000020,5906000020,MS
5905000032,5906000032,MS
4005000010,4006000031,AR
5905000033,5906000033,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4405000516,4406000021,LA
4005000015,4006000018,AR
5905000024,5906000024,MS
1405250001,1406000213,MS
1405000057,1406000046,MS
1405000056,1406000047,MS
5905000029,5906000029,MS
1805000534,1806000133,ND
1805000535,1806000134,ND
5705000072,5706000058,MN
1805000546,1806000098,ND
1805200568,1806000101,ND
1805400528,1806000128,ND
1805500528,1806000129,ND
1805600528,1806000130,ND
1805000703,1806000116,ND
1805000704,1806000114,ND
1805000705,1806000113,ND
1805000706,1806000112,ND
1805000707,1806000111,ND
1805000708,1806000110,ND
1805000709,1806000109,ND
5705000003,5706000004,MN
5705000049,5706000016,ND
5705000015,5706000019,MN
5705000017,5706000038,MN
5705000026,5706000039,ND
5705000036,5706000045,ND
5705000037,5706000044,ND
5705000038,5706000049,ND
5705000030,5706000006,ND
5705000029,5706000011,ND
5705000032,5706000009,ND
5705000031,5706000008,ND
5705000034,5706000007,ND
5705000033,5706000010,ND
1805100568,1806000100,ND
1805000503,1806000021,CO
1805000763,1806000173,SD
1805000758,1806000148,SD
3605000096,3606000033,KS
3605000220,3606000232,KS
4705000114,4706000136,NE
3605000092,3606000017,KS
3605000040,3606000003,KS
3605000039,3606000026,KS
3605000047,3606000037,KS
3605000050,3606000239,NE
4705000103,4706000033,SD
4705000155,4706000123,NE
4705000140,4706000113,NE
3605000121,3606000030,MO
4705000096,4706000042,NE
4705000153,4706000041,NE
1805000022,1806000186,SD
1805000023,1806000188,SD
3605000129,3606000117,MO
1805000817,1806000268,UT
1805000816,1806000269,WY
4705000068,4706000057,NE
4705000069,4706000058,NE
3605000066,3606000041,KS
4705000154,4706000117,NE
4705000061,4706000110,NE
5605810001,5606000046,MO
4705000038,4706000069,IA
4705000039,4706000153,IA
1805000553,1806000043,CO
3605000051,3606000031,MO
1805000508,1806000025,CO
1805001316,1806000143,SD
1805000009,1806000141,SD
4705000024,4706000141,IA
4705000117,4706000017,CO
3605000095,3606000040,NE
3605000119,3606000002,KS
4705000050,4706000091,MT
4705000118,4706000092,CO
4705000119,4706000093,CO
4705000157,4706000137,CO
1805000820,1806000189,SD
1805000733,1806000122,ND
3605000091,3606000042,KS
3605000137,3606000136,KS
3605000123,3606000135,KS
3605000205,3606000217,KS
3605000204,3606000216,KS
4705000051,4706000118,MT
4705000060,4706000102,NE
4705000059,4706000103,NE
4705000045,4706000098,MT
4705000112,4706000034,WY
3605000026,3606000133,MO
3605000099,3606000036,KS
1805001368,1806000108,ND
4705000046,4706000106,MT
4705000047,4706000107,MT
4705000022,4706000025,IA
4705000021,4706000024,IA
4705000102,4706000045,SD
4705000056,4706000063,NE
4705000143,4706000030,SD
4705000142,4706000029,SD
4705000062,4706000064,NE
1805000826,1806000138,SD
